productNumber,productAsin,productUuid,productImageLink,productLink,productTitle,productStar,numberComment,productPrice,productOldPrice,discountRate
55,B097HZ6N5Y,cd38a0cc-c449-4389-b28e-c1201efd26fb,https://m.media-amazon.com/images/I/51nFEuOgTIL._AC_UL320_.jpg,https://www.amazon.co.uk//Nutmeg-Spaghetti-Bolognese-7M-130G/dp/B097HZ6N5Y,"Nutmeg Spaghetti Bolognese 7M+ 130G,, 1 x 1 g",4.7 out of 5 stars,54,£0.91,,
56,B08633PMDD,caf18a03-71c9-40cf-863d-e98e875b992e,https://m.media-amazon.com/images/I/61xfZSFPeiL._AC_UL320_.jpg,https://www.amazon.co.uk//by-Amazon-Baby-Corn-130g/dp/B08633PMDD,"by Amazon Baby Corn, 130g",4.5 out of 5 stars,85,£1.00,£1.20,%16.67
57,B08RP3HG2W,4ed04428-caf4-4a38-8a22-d29429381b90,https://m.media-amazon.com/images/I/61L3815Gg6L._AC_UL320_.jpg,https://www.amazon.co.uk//Vicloon-Swaddle-Newborn-Blanket-Organic/dp/B08RP3HG2W,"Vicloon Baby Swaddle Wrap, 2 pcs Newborn Swaddle Blanket Wrap, Organic Cotton Baby Blanket Wrap for Baby 0-3 Months 7-14lbs",4.1 out of 5 stars,"1,551",£12.89,,
58,B09QJ1WPN6,40a8886a-abea-48b7-a161-a62a1e010b20,https://m.media-amazon.com/images/I/7111WOvKC4L._AC_UL320_.jpg,https://www.amazon.co.uk//Kiddylicious-Banana-Wafers-6-Months/dp/B09QJ1WPN6,Kiddylicious Banana Wafers 6 Months+,4.4 out of 5 stars,17,£1.07,,
59,B097HW2MV8,404f8884-55a5-4ea7-8976-081804b3fca2,https://m.media-amazon.com/images/I/617YonrKROL._AC_UL320_.jpg,https://www.amazon.co.uk//Nutmeg-Vegetable-Beef-Hotpot-200G/dp/B097HW2MV8,"Nutmeg Vegetable & Beef Hotpot 12M+ 200G,, 1 x 1 g",4.6 out of 5 stars,80,£1.07,,
60,B08F7TF4NP,c4a4ee06-7d1c-479e-bb9f-de8f8ace09de,https://m.media-amazon.com/images/I/61A+Atv1c6L._AC_UL320_.jpg,https://www.amazon.co.uk//Nabance-Imprint-Footprint-Handprint-Non-Toxic/dp/B08F7TF4NP,"Nabance Baby Handprint and Footprint Kit, 3 Baby Handprint Ink Pads with Clean-Touch, 6 Imprint Cards, Pet Paw Print, Inkless Print Kit Safe Non-Toxic for baby Feet and Hands, Family Keepsake - Black",4.3 out of 5 stars,"1,146",£8.99,,
61,B07V2N4SJY,a962df1b-b397-4b8b-8269-8275d0ac0836,https://m.media-amazon.com/images/I/61lBVjA7jrL._AC_UL320_.jpg,https://www.amazon.co.uk//Amazon-Brand-Sensitive-Unscented-wipes/dp/B07V2N4SJY?rdc=1,Amazon Brand – Mama Bear Sensitive Unscented baby wipes– 56 Count (Pack of 18) (Total 1008 wipes),4.7 out of 5 stars,"25,491",£10.80,£13.31,%18.86
62,B003A7ETB6,bc58b1ba-4b67-413e-8bfc-0e2340518df5,https://m.media-amazon.com/images/I/71RxG964kdL._AC_UL320_.jpg,https://www.amazon.co.uk//Organic-Stage-Months-Apple-Pudding/dp/B003A7ETB6,"HiPP Organic Apple and Pear Baby Food Jar 4+ Months, 125g",4.5 out of 5 stars,160,£0.80,£0.90,%11.11
63,B09SPF3R7W,aae7af55-cb3f-44bc-95ad-103df271f517,https://m.media-amazon.com/images/I/81A35pvOhrL._AC_UL320_.jpg,https://www.amazon.co.uk//hahaland-Sensory-Squeaker-Crinkle-Newborn/dp/B09SPF3R7W,"Sensory Toys Jungle Tails Books for Babies Touch and Feel Soft Books with Squeaker, Crinkle Paper for Newborn Infants Toddler Toys, Car Seat Baby Girls Gifts Newborn for 0 3 6 12 months Boys Girls",4.8 out of 5 stars,"1,393",£9.99,,
64,1441321640,412968fa-09ee-43ba-938b-e8932471710c,https://m.media-amazon.com/images/I/81r1k7MGFML._AC_UL320_.jpg,https://www.amazon.co.uk//My-Life-Baby-First-Year-Calendar/dp/1441321640,My Life as a Baby: A First-Year Calendar (Birds),4.8 out of 5 stars,492,£10.99,,
